Salbutamol (inhaler),"Ventolin, Asthalin",Bronchodilator (SABA),1–2 puffs (100 mcg per puff) every 4–6 hrs as needed,Relieves wheeze and breathlessness in asthma/COPD quickly.,Use as rescue inhaler; not for long-term control alone.,Rinse mouth if using steroids too.,If rescue inhaler doesn’t help or severe breathlessness
Budesonide inhaler,Pulmicort,Inhaled steroid,Dose varies; use as prescribed,Used for daily control of asthma inflammation.,Not a rescue inhaler; use regularly for control.,Rinse mouth to avoid thrush.,If worsening asthma or oral thrush
Montelukast,Singulair,Leukotriene receptor antagonist,10 mg once daily,Helps control asthma and allergic rhinitis in some patients.,Not for acute asthma attacks; check mood side effects.,Report mood changes or severe reactions.,If severe breathing difficulty
Hydrocortisone cream 1%,"Cortisone, HC cream",Topical steroid,Apply thinly to affected area 1–2 times daily,"Used for mild eczema, rashes, and insect bites.",Short-term use only on small areas; avoid face long-term.,May thin skin with prolonged use.,If skin infection signs or spreading rash
Clotrimazole cream,Canesten,Antifungal topical,Apply twice daily for 2–4 weeks,"Treats ringworm, athlete's foot, and yeast infections on skin.",Keep area clean and dry while treating.,Stop and see doctor if no improvement.,If severe spreading or face involvement
Fluconazole,Diflucan,Antifungal (oral),150 mg single dose for vaginal yeast (varies),Used for fungal infections like thrush and some systemic uses.,Follow instructions; report liver symptoms.,Avoid during pregnancy unless advised.,If jaundice or severe stomach pain
Nystatin (oral),Nystan,Antifungal,Use as oral suspension as prescribed,Used for oral thrush in babies/elderly (apply or swish and swallow).,Follow pediatric dosing; keep hygiene.,"If no improvement, see doctor.",If difficulty swallowing or severe infection
Hydroxyzine,Atarax,Antihistamine/sedative,25–50 mg as needed,Used for severe itching or anxiety in some cases.,Causes drowsiness; avoid driving.,Follow doctor for doses.,If extreme drowsiness or breathing trouble
Aciclovir (topical/oral),Zovirax,Antiviral,Topical applied 5 times daily; oral dosing varies,Used for cold sores and herpes infections.,Start early in infection for best effect.,Hydrate and follow dosing.,If severe or spreading infection
Oseltamivir,Tamiflu,Antiviral,75 mg twice daily for 5 days (varies),Used for influenza treatment if started early.,Not a substitute for vaccine; start early.,May cause nausea.,If severe breathing difficulty
Warfarin,Coumadin,Anticoagulant,Dose individualized (monitor INR),Prevents blood clots; used after some surgeries or for AF.,Requires regular blood test monitoring (INR); many interactions.,Do not start/stop without doctor and check interactions.,If unusual bleeding or bruising
Clopidogrel,Plavix,Antiplatelet,75 mg once daily,Prevents platelets from sticking; used after stents or heart events.,Only take if prescribed; increases bleeding risk.,Avoid sudden stopping without medical advice.,If bleeding or unexpected bruising
Levothyroxine,"Eltroxin, Thyrox",Thyroid hormone,50–150 mcg once daily (varies),Replaces thyroid hormone for underactive thyroid.,Take on empty stomach; keep consistent timing.,Adjust dose with blood tests.,If palpitations or worsening symptoms
Isotretinoin,"Accutane, Isotane",Acne medication (retinoid),Dose varies; specialist prescribed,Used for severe acne under dermatologist supervision.,Highly teratogenic—strict pregnancy prevention needed.,Regular liver checks required.,If pregnancy or severe mood change
Tretinoin cream,Retino-A,Topical retinoid,Apply at night as prescribed,Used for acne and skin renewal.,Can cause dryness and sun sensitivity; use sunscreen.,Start with low frequency.,If severe irritation
Calcium + Vitamin D,Calcium tablets + D3,Supplement,"As per label (e.g., Calcium 500 mg + D3 400 IU)",Used to support bone health.,Do not exceed recommended dose; check interactions with other meds.,Best with meals for absorption.,If severe constipation or kidney stones history
Iron (ferrous sulfate),"Ferrous sulfate, Ferrogradumet",Supplement,100–200 mg elemental iron daily (varies),Used for iron-deficiency anemia to increase blood iron.,May cause constipation and dark stools; take with vitamin C to help absorption.,Avoid taking with tea/coffee and calcium at same time.,If signs of severe anemia or allergic reaction
Multivitamin (general),"Centrum, Revital",Supplement,Once daily as per product,General nutritional supplement for deficiency prevention.,Not a replacement for a healthy diet; avoid mega-doses.,Check if on specialized meds (warfarin interactions).,If allergic reaction
Budesonide nasal spray,"Rhinocort, Budecort",Nasal steroid,Use 1–2 sprays each nostril daily,Used for hay fever and nasal allergy control.,Regular daily use gives best effect; not immediate.,Shake before use; may take days to work.,If nosebleeds or severe irritation
Saline nasal drops/spray,Nasal saline,Nasal rinse,Use as needed,Moisturizes nose and helps clear mucus.,Safe for all ages; useful adjunct.,Helpful for congestion without meds.,If severe sinus pain or high fever
Cetirizine (child dose),Cetzine paediatric,Antihistamine,As per weight/label,Allergy relief for children,Check pediatric dosing,If breathing difficulty,If breathing difficulty
Diphenhydramine,Benadryl,Antihistamine/sedative,25–50 mg at night as needed,Helps with allergies and sleep short-term,Causes drowsiness; avoid driving,If severe allergic reaction,If severe allergic reaction
Hydrochlorothiazide,Microzide,Diuretic (BP),12.5–25 mg once daily,Helps lower blood pressure by removing extra fluid,May increase urination; monitor electrolytes,If dizziness or dehydration,If dizziness or dehydration
Spironolactone,Aldactone,Diuretic / potassium-sparing,25–100 mg daily,Used for fluid retention and some BP cases,Can increase potassium; monitor labs,If muscle weakness or palpitations,If muscle weakness or palpitations
Prednisolone (short course),Deltacortil,Oral steroid,5–60 mg depending on condition,Used for inflammation and allergic reactions short-term,Do not stop abruptly after long use; short courses usually safe,If high blood sugar or infection,If high blood sugar or infection
Mometasone nasal,Nasonex,Nasal steroid,One spray each nostril daily,Allergic rhinitis control,Regular use gives best control,If nosebleeds,If nosebleeds
Tadalafil,Cialis,ED treatment,10–20 mg before sexual activity,Helps erectile dysfunction,Do not take with nitrates (heart meds),If chest pain or severe dizziness,If chest pain or severe dizziness
Sildenafil,Viagra,ED treatment,50 mg before activity (varies),Helps erectile dysfunction,Avoid nitrates; can lower blood pressure,If sudden vision loss or chest pain,If sudden vision loss or chest pain
Nitroglycerin spray/tablets,"Glytrin, Nitrostat",Angina reliever,Use one dose under tongue as directed,Relieves chest pain from heart angina,Use sitting; can cause headache and low BP,If chest pain persists after 3 doses,If chest pain persists after 3 doses
Dextromethorphan,"Cough syrups (e.g., Benylin)",Cough suppressant,Follow label,Suppresses dry cough temporarily,Not for productive cough with mucus,If high fever or green phlegm,If high fever or green phlegm
Guaifenesin,Mucolytic expectorant,Expectorant,Follow product label,Helps thin mucus in chest,Drink fluids to help loosen mucus,If cough >2 weeks or bloody sputum,If cough >2 weeks or bloody sputum
Benzonatate,Tessalon Perles,Cough suppressant,100–200 mg up to 3x/day,Numbs the throat to reduce cough,"Do not chew (can numb mouth), keep away from children",If breathing difficulty,If breathing difficulty
Polymyxin B + neomycin topical,Neosporin type,Topical antibiotic combo,Apply as per label,Prevent/treat minor wound infections,Allergy to neomycin possible,If spread of infection,If spread of infection
Hydrogen peroxide (3%),Antiseptic,Wound cleanser,Use diluted as per label,Clean minor wounds,Not for deep wounds; use gentle cleaning,If deep wound or heavy bleeding,If deep wound or heavy bleeding
Mupirocin ointment,Bactroban,Topical antibiotic,Apply as prescribed,Used for impetigo and infected small wounds,Use short-term; do not ingest,If larger area infected,If larger area infected
Ketoconazole shampoo,Nizoral,Antifungal for scalp,Use as per label weekly or twice weekly,Treats dandruff and fungal scalp infections,Avoid contact with eyes,If rash worsens,If rash worsens
Minoxidil topical,Rogaine,Hair loss topical,Apply as per label twice daily,Helps in hair regrowth for some patterns,May cause scalp irritation; results take months,If scalp irritation severe,If scalp irritation severe
Tamsulosin,Flomax,BPH medicine,0.4 mg once daily,Helps urine flow in men with enlarged prostate,May cause dizziness on standing,If fainting or severe dizziness,If fainting or severe dizziness
Finasteride,"Propecia, Proscar",BPH / hair loss,1 mg (hair) or 5 mg (BPH) daily,Helps reduce prostate size or hair loss prevention,Not for use in women; avoid handling crushed pills in pregnancy,If breast changes or sexual side effects,If breast changes or sexual side effects
Ezetimibe,Ezetrol,Cholesterol absorption inhibitor,10 mg once daily,Lowers cholesterol often with statin,Follow lipid tests,If muscle pain,If muscle pain
Fenofibrate,Lipid-lowering agent,145 mg once daily,Lowers triglycerides,Check liver and muscle symptoms,If severe muscle pain,,
Metoclopramide,Domperidone,Antiemetic/prokinetic,As per label (varies),Helps with vomiting/nausea and gastric emptying,Short-term use; long-term can cause movement disorders,If involuntary movements,If involuntary movements
Domperidone,Domstal,Antiemetic,10 mg up to 3x/day,Helps nausea and vomiting (some countries restrict),Check for cardiac risk; follow dosing,If irregular heartbeat,If irregular heartbeat
Dabigatran,Pradaxa,Anticoagulant (DOAC),Dose per indication,Prevents blood clots; alternative to warfarin,Do not stop without advice; bleeding risk,If bleeding or severe bruising,If bleeding or severe bruising
Rivaroxaban,Xarelto,DOAC anticoagulant,Dose per indication,Prevent/treat blood clots,Similar bleeding cautions,If bleeding,If bleeding
Salmeterol + fluticasone inhaler,Advair,Inhaled combo,Use as prescribed,Control asthma/COPD symptoms long-term,Rinse mouth after steroid inhaler,If worsening breathing,If worsening breathing
Tiotropium inhaler,Spiriva,Long-acting bronchodilator,Once daily,Used for COPD control,Follow inhaler technique; not rescue,If dry mouth or urinary retention,If dry mouth or urinary retention
Baclofen,Lioresal,Muscle relaxant,5–10 mg 3x/day (varies),Reduces muscle spasm in certain conditions,Can cause drowsiness; avoid alcohol,If severe drowsiness,If severe drowsiness
Gabapentin,Neurontin,Neuropathic pain/anticonvulsant,300–900 mg at night/start then titrate,Used for nerve pain and seizures,Can cause dizziness and sleepiness,If mood change or severe dizziness,If mood change or severe dizziness
Pregabalin,Lyrica,Neuropathic pain,"Dose varies (e.g., 75 mg twice daily)",Used for nerve pain and fibromyalgia,Drowsiness and weight gain possible,If severe mood change,If severe mood change
Sumatriptan,Imitrex,Migraine medication,50–100 mg at migraine onset,Relieves severe migraine in many cases,Not for heart disease patients; avoid within 24 hrs of certain meds,If chest pain or severe reactions,If chest pain or severe reactions
Azelaic acid,Skinoren,Topical for acne/rosacea,Apply as prescribed,Reduces acne and rosacea redness,May cause mild irritation,If severe irritation,If severe irritation
Hydroxychloroquine,Plaquenil,Antimalarial/autoimmune,Dose per indication,Used for malaria and some autoimmune conditions,Requires monitoring for eyes with long-term use,If vision changes,If vision changes
Primaquine,Antimalarial,Antimalarial,Dose varies,Used for certain malaria species and for radical cure,G6PD testing needed before use,If dark urine or jaundice,If dark urine or jaundice
Chloroquine,Antimalarial,Antimalarial,Dose per protocol,Used in some malaria treatments (local guidance),Follow national guidelines,If visual disturbances,If visual disturbances
Mefenamic acid,Ponstan,NSAID for pain,250–500 mg three times daily,Used for period pain and other pains,Can cause stomach upset and bleeding risk,If severe stomach pain,If severe stomach pain
Tranexamic acid (oral),Cyklokapron,Antifibrinolytic,Dose per condition,Used to reduce heavy bleeding (menstrual) as advised,Only use as advised by doctor,If blood clot signs,If blood clot signs
Misoprostol (for ulcers/OB),Cytotec,Prostaglandin analogue,Use as per clinical guidance,Used for certain stomach protection and obstetric uses,Special uses under clinician guidance,If heavy bleeding or pregnancy concerns,If heavy bleeding or pregnancy concerns
